"margin" "qseqid" "sseqid" "staxid" "pident" "score" "qcovs" "kingdom" "phylum" "class" "order" "family" "genus" "species" "species_score" "genus_score" "family_score" "order_score" "class_score" "phylum_score" "kingdom_score" "alternatives" "pident.max.best" "possible.misid" "ssciname" "score.id" "seqNoID"
"seq13552" "upper" "seq13552" "GAHAP875N13" "   6386" " 97.235" "1.000000e+02" "100" "Metazoa" "Annelida" "Clitellata" "Tubificida" "Naididae" "Tubifex" "Tubifex tubifex" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Tubifex tubifex, 97.235" " 97.235" "1" "Tubifex tubifex" "Tubifex" "seq13552"
"seq136" "upper" "seq136" "EINVA477N20" " 192237" "100.000" "1.000000e+02" "100" "Metazoa" "Mollusca" "Bivalvia" "Venerida" "Sphaeriidae" "Pisidium" "Pisidium amnicum" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Pisidium amnicum, 100" "100.000" "1" "Pisidium amnicum" "Pisidium amnicum" "seq136"
"seq13615" "upper" "seq13615" "AGROT325N10" "  84394" " 92.273" "1.000000e+02" "100" "Metazoa" "Rotifera" "Eurotatoria" "Ploima" NA NA "Ploima" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Ploima, 92.273" " 92.273" "1" "Ploima" NA "seq13615"
"seq136285" "upper" "seq136285" "RBNII103N13" "   6088" " 94.091" "1.159262e-03" "100" "Metazoa" "Cnidaria" "Hydrozoa" "Anthoathecata" "Hydridae" "Hydra" "Hydra oligactis" " 99.30045" "100.00000" "100" "100" "100" "100" "100" "Hydra oligactis, 95.392, Hydra, 94.931, Hydra oligactis, 94.931, Hydra oligactis, 94.091" " 95.392" "0" "Hydra oligactis" "Hydra" "seq136285"
"seq13658" "upper" "seq13658" "PLCFF1076N21" "  30262" " 94.009" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Insecta" "Thysanoptera" NA NA "Thysanoptera" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Thysanoptera, 94.009, Hymenoptera, 93.548" " 94.009" "1" "Thysanoptera" NA "seq13658"
"seq1366" "upper" "seq1366" "FINTI714N12" "2882829" " 97.696" "4.997696e+01" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Limoniidae" "Scleroprocta" "Scleroprocta pentagonalis" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Scleroprocta pentagonalis, 97.696, Scleroprocta pentagonalis, 96.774" " 97.696" "0" "Scleroprocta pentagonalis" "Scleroprocta" "seq1366"
"seq13696" "upper" "seq13696" "FJ639281" "  61662" "100.000" "3.333192e+01" "100" "Metazoa" "Annelida" "Clitellata" "Lumbriculida" "Lumbriculidae" "Lumbriculus" "Lumbriculus variegatus" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Lumbriculus variegatus, 100.000, Lumbriculus variegatus,  98.636, Lumbriculus variegatus,  98.618" "100.000" "1" "Lumbriculus variegatus" "Lumbriculus variegatus" "seq13696"
"seq1371" "upper" "seq1371" "BATFP061N11" " 403562" "100.000" "9.090909e+00" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" "Paratanytarsus" "Paratanytarsus dissimilis" " 90.90909" " 90.90909" "100" "100" "100" "100" "100" "Paratanytarsus dissimilis, 100, Tanytarsus pallidicornis, 100" "100.000" "0" "Paratanytarsus dissimilis" "Chironomidae" "seq1371"
"seq13731" "upper" "seq13731" "NOSPI007N19" "   7149" " 99.078" "3.331771e+01" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" NA "Chironomidae" " 66.63542" " 66.63542" "100" "100" "100" "100" "100" "Chironomidae, 99.078, Brillia bifida, 99.078, Brillia bifida, 98.157, Brillia bifida, 97.696, Brillia bifida, 97.235" " 99.078" "0" "Brillia bifida" "Chironomidae" "seq13731"
"seq137362" "upper" "seq137362" "LFWM027N10" "1046330" " 98.618" "2.499692e+01" "100" "Metazoa" "Arthropoda" "Arachnida" "Trombidiformes" "Pionidae" "Piona" "Piona coccinea" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Piona coccinea, 98.618, Piona coccinea, 97.696, Piona coccinea, 97.235" " 98.618" "0" "Piona coccinea" "Piona coccinea" "seq137362"
"seq137457" "upper" "seq137457" "BGMAY444N11" " 219336" "100.000" "5.000000e+01" "100" "Metazoa" "Arthropoda" "Insecta" "Ephemeroptera" "Siphlonuridae" "Siphlonurus" "Siphlonurus" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Siphlonurus, 100.000, Ephemeroptera,  99.539, Siphlonurus aestivalis,  99.078, Siphlonurus armatus,  98.157" "100.000" "1" "Siphlonurus" "Siphlonurus" "seq137457"
"seq13764" "upper" "seq13764" "PGBAL389N19" " 191633" "100.000" "3.309641e+01" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" "Procladius" "Procladius" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Procladius, 100.000, Procladius,  99.539" "100.000" "1" "Procladius" "Procladius" "seq13764"
"seq1377" "upper" "seq1377" "GBIOC2634N21" "   6658" " 97.696" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Branchiopoda" NA NA NA "Branchiopoda" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Branchiopoda, 97.696" " 97.696" "1" "Branchiopoda" NA "seq1377"
"seq13794" "upper" "seq13794" "GBMNF24407N22" " 992226" "100.000" "8.244489e+00" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Ceratopogonidae" "Culicoides" "Culicoides furcillatus" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Culicoides furcillatus, 100.000, Culicoides furcillatus,  99.539, Culicoides furcillatus,  99.078" "100.000" "0" "Culicoides furcillatus" "Culicoides furcillatus" "seq13794"
"seq13804" "upper" "seq13804" "GBAN13851N19" " 380444" "100.000" "1.000000e+02" "100" "Metazoa" "Annelida" "Clitellata" "Tubificida" "Naididae" "Epirodrilus" "Epirodrilus pygmaeus" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Epirodrilus pygmaeus, 100" "100.000" "1" "Epirodrilus pygmaeus" "Epirodrilus pygmaeus" "seq13804"
"seq13821" "upper" "seq13821" "GMOAP390N13" "2109251" " 98.618" "1.051980e+00" "100" "Metazoa" "Annelida" "Clitellata" "Tubificida" "Naididae" NA "Naididae" " 51.05198" " 51.05198" "100" "100" "100" "100" "100" "Tasserkidrilus kessleri, 99.078, Naididae, 99.078, Naididae, 98.618" " 99.078" "0" "Naididae" "Naididae" "seq13821"
"seq1385" "upper" "seq1385" "ACSD101N11" "  84316" " 98.618" "4.862792e-04" "100" "Metazoa" "Arthropoda" "Hexanauplia" "Cyclopoida" "Cyclopidae" "Eucyclops" "Eucyclops" " 98.94905" "100.00000" "100" "100" "100" "100" "100" "Eucyclops, 100.000, Eucyclops,  99.539, Eucyclops serrulatus,  99.539, Eucyclops,  99.078, Eucyclops,  98.618" "100.000" "0" "Eucyclops" "Eucyclops" "seq1385"
"seq13868" "upper" "seq13868" "GBSP15593N19" "1213203" " 99.091" "1.000000e+02" "100" "Metazoa" "Rotifera" "Eurotatoria" "Ploima" "Lecanidae" "Lecane" "Lecane closterocerca" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Lecane closterocerca, 99.091" " 99.091" "1" "Lecane closterocerca" "Lecane closterocerca" "seq13868"
"seq139" "upper" "seq139" "GMGMG1504N14" " 288845" " 98.636" "2.091018e-04" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" "Orthocladius" "Orthocladius" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Orthocladius, 100.000, Orthocladius,  99.539, Orthocladius,  98.636, Orthocladius,  98.618, Orthocladius,  98.182" "100.000" "1" "Orthocladius" "Orthocladius" "seq139"
"seq13926" "upper" "seq13926" "GAHAP3319N15" "   6386" " 96.774" "9.514827e-01" "100" "Metazoa" "Annelida" "Clitellata" "Tubificida" "Naididae" "Tubifex" "Tubifex tubifex" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Tubifex tubifex, 97.235, Tubifex tubifex, 96.774" " 97.235" "0" "Tubifex tubifex" "Tubifex" "seq13926"
"seq13927" "upper" "seq13927" "LN810416" "   6386" " 96.774" "9.514827e-01" "100" "Metazoa" "Annelida" "Clitellata" "Tubificida" "Naididae" "Tubifex" "Tubifex tubifex" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Tubifex tubifex, 97.235, Tubifex tubifex, 96.774" " 97.235" "0" "Tubifex tubifex" "Tubifex" "seq13927"
"seq13930" "upper" "seq13930" "GBMIN793N12" " 212230" " 97.015" "3.333333e+01" "100" "Metazoa" "Annelida" "Clitellata" "Tubificida" "Naididae" "Amphichaeta" "Amphichaeta raptisae" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Amphichaeta raptisae, 97.015" " 97.015" "0" "Amphichaeta raptisae" "Amphichaeta" "seq13930"
"seq13953" "upper" "seq13953" "LR827681" " 997595" " 97.235" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Insecta" "Trichoptera" "Hydroptilidae" "Agraylea" "Agraylea multipunctata" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Agraylea multipunctata, 97.235" " 97.235" "1" "Agraylea multipunctata" "Agraylea" "seq13953"
"seq13995" "upper" "seq13995" "MSSCA1982N16" "  83137" " 92.623" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Arachnida" "Sarcoptiformes" NA NA "Sarcoptiformes" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Sarcoptiformes, 92.623" " 92.623" "1" "Sarcoptiformes" NA "seq13995"
"seq14016" "upper" "seq14016" "GBSP9815N13" " 360692" " 97.727" "1.801205e+00" "100" "Metazoa" "Rotifera" "Eurotatoria" "Ploima" "Synchaetidae" "Polyarthra" "Polyarthra" " 89.19102" "100.00000" "100" "100" "100" "100" "100" "Polyarthra, 98.182, Polyarthra, 97.727, Polyarthra dolichoptera, 97.727, Polyarthra dolichoptera, 96.818, Polyarthra, 96.364, Polyarthra dolichoptera, 96.364" " 98.182" "0" "Polyarthra" "Polyarthra" "seq14016"
"seq14023" "upper" "seq14023" "SWCHL2067N16" "  84308" "100.000" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Hexanauplia" "Cyclopoida" NA NA "Cyclopoida" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Cyclopoida, 100.000, Chaetogaster diastrophus,  98.347" "100.000" "1" "Cyclopoida" "Cyclopoida" "seq14023"
"seq14027" "upper" "seq14027" "MSSCA1543N16" "  66594" " 90.164" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Arachnida" "Sarcoptiformes" "Nanhermanniidae" NA "Nanhermanniidae" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Nanhermanniidae, 90.164" " 90.164" "1" "Nanhermanniidae" NA "seq14027"
"seq14037" "upper" "seq14037" "EWNOR525N08" "   6398" "100.000" "6.590572e+00" "100" "Metazoa" "Annelida" "Clitellata" "Crassiclitellata" "Lumbricidae" "Lumbricus" "Lumbricus terrestris" " 99.99695" " 99.99695" "100" "100" "100" "100" "100" "Lumbricus terrestris, 100.000, Lumbricus terrestris,  99.539, Lumbricidae,  99.078, Lumbricus terrestris,  99.078" "100.000" "1" "Lumbricus terrestris" "Lumbricidae" "seq14037"
"seq1405" "upper" "seq1405" "SSFDB1626N14" "   6854" " 96.313" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Arachnida" NA NA NA "Arachnida" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Arachnida, 96.313" " 96.313" "1" "Arachnida" NA "seq1405"
"seq14054" "upper" "seq14054" "GBMND93570N21" "1903308" " 99.539" "7.131184e+00" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Ptychopteridae" "Ptychoptera" "Ptychoptera longicauda" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Ptychoptera longicauda, 99.539, Ptychoptera longicauda, 99.078, Ptychoptera longicauda, 98.618, Ptychoptera longicauda, 98.157" " 99.539" "1" "Ptychoptera longicauda" "Ptychoptera longicauda" "seq14054"
"seq14069" "upper" "seq14069" "HMKKT939N11" "1271729" " 99.539" "2.363597e-01" "100" "Metazoa" "Arthropoda" "Insecta" "Trichoptera" "Limnephilidae" "Limnephilus" "Limnephilus extricatus" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Limnephilus extricatus, 100.000, Limnephilus extricatus,  99.539" "100.000" "0" "Limnephilus extricatus" "Limnephilus extricatus" "seq14069"
"seq14086" "upper" "seq14086" "KUGL053N21" "   6854" "100.000" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Arachnida" NA NA NA "Arachnida" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Arachnida, 100" "100.000" "1" "Arachnida" "Arachnida" "seq14086"
"seq14090" "upper" "seq14090" "GBMNB35241N20" "   6398" " 99.539" "1.415352e-01" "100" "Metazoa" "Annelida" "Clitellata" "Crassiclitellata" "Lumbricidae" "Lumbricus" "Lumbricus terrestris" " 99.99695" " 99.99695" "100" "100" "100" "100" "100" "Lumbricus terrestris, 100.000, Lumbricus terrestris,  99.539, Lumbricidae,  99.078, Lumbricus terrestris,  99.078" "100.000" "1" "Lumbricus terrestris" "Lumbricidae" "seq14090"
"seq14108" "upper" "seq14108" "EWNOR886N12" "1114186" " 98.507" "1.062660e+00" "100" "Metazoa" "Annelida" "Clitellata" "Crassiclitellata" "Lumbricidae" "Aporrectodea" "Aporrectodea cupulifera" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Aporrectodea cupulifera, 100.000, Aporrectodea cupulifera,  98.507" "100.000" "0" "Aporrectodea cupulifera" "Aporrectodea cupulifera" "seq14108"
"seq14109" "upper" "seq14109" "GAHAP875N13" "   6386" " 97.235" "1.000000e+02" "100" "Metazoa" "Annelida" "Clitellata" "Tubificida" "Naididae" "Tubifex" "Tubifex tubifex" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Tubifex tubifex, 97.235" " 97.235" "1" "Tubifex tubifex" "Tubifex" "seq14109"
"seq1414" "upper" "seq1414" "SSFDB1626N14" "   6854" " 96.313" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Arachnida" NA NA NA "Arachnida" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Arachnida, 96.313" " 96.313" "1" "Arachnida" NA "seq1414"
"seq14144" "upper" "seq14144" "SWBRP224N17" "   6340" " 97.696" "5.000000e+01" "100" "Metazoa" "Annelida" NA NA NA NA "Annelida" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Annelida, 97.696" " 97.696" "1" "Annelida" NA "seq14144"
"seq14149" "upper" "seq14149" "GU722871" "   6088" " 90.323" "3.333333e+01" "100" "Metazoa" "Cnidaria" "Hydrozoa" "Anthoathecata" "Hydridae" "Hydra" "Hydra oligactis" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Hydra oligactis, 90.323" " 90.323" "0" "Hydra oligactis" "Hydra" "seq14149"
"seq1420" "upper" "seq1420" "ZPII1540N11" " 362306" " 90.323" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Branchiopoda" "Diplostraca" "Macrotrichidae" "Macrothrix" "Macrothrix" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Macrothrix, 90.323" " 90.323" "1" "Macrothrix" "Macrothrix" "seq1420"
"seq142028" "upper" "seq142028" "GBMNB56454N20" "1112786" " 97.521" "5.349929e-01" "100" "Metazoa" "Arthropoda" "Ostracoda" "Podocopida" "Candonidae" "Candona" "Candona candida" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Candona candida, 98.347, Candona candida, 97.521" " 98.347" "0" "Candona candida" "Candona candida" "seq142028"
"seq14220" "upper" "seq14220" "GBMNA8143N19" "   6233" " 90.187" "5.000000e+01" "100" "Metazoa" "Nematoda" "Chromadorea" "Rhabditida" "Panagrolaimidae" "Panagrellus" "Panagrellus redivivus" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Panagrellus redivivus, 90.187" " 90.187" "1" "Panagrellus redivivus" "Panagrellus" "seq14220"
"seq14231" "upper" "seq14231" "PLSBK1917N20" "   7399" " 92.166" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Insecta" "Hymenoptera" NA NA "Hymenoptera" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Hymenoptera, 92.166" " 92.166" "1" "Hymenoptera" NA "seq14231"
"seq1426" "upper" "seq1426" "BSCHI732N17" "1278984" " 98.157" "1.464873e-06" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" "Cladotanytarsus" "Cladotanytarsus mancus" " 75.39908" "100.00000" "100" "100" "100" "100" "100" "Cladotanytarsus, 100.000, Cladotanytarsus mancus, 100.000, Cladotanytarsus mancus,  99.539, Cladotanytarsus mancus,  99.078, Cladotanytarsus mancus,  98.157" "100.000" "1" "Cladotanytarsus" "Cladotanytarsus" "seq1426"
"seq14275" "upper" "seq14275" "PLEAA945N20" "1271729" "100.000" "1.100606e+01" "100" "Metazoa" "Arthropoda" "Insecta" "Trichoptera" "Limnephilidae" "Limnephilus" "Limnephilus extricatus" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Limnephilus extricatus, 100.000, Limnephilus extricatus,  99.539" "100.000" "0" "Limnephilus extricatus" "Limnephilus extricatus" "seq14275"
"seq14307" "upper" "seq14307" "PLWAZ063N20" "   7041" " 90.588" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Insecta" "Coleoptera" NA NA "Coleoptera" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Coleoptera, 90.588" " 90.588" "1" "Coleoptera" NA "seq14307"
"seq143154" "upper" "seq143154" "GBMND93583N21" "1404285" " 98.157" "1.094535e-04" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Ptychopteridae" "Ptychoptera" "Ptychoptera minuta" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Ptychoptera minuta, 99.539, Ptychoptera minuta, 99.078, Ptychoptera minuta, 98.618, Ptychoptera minuta, 98.157" " 99.539" "1" "Ptychoptera minuta" "Ptychoptera minuta" "seq143154"
"seq14362" "upper" "seq14362" "GMACB1916N15" "  83137" " 91.705" "9.926731e-04" "100" "Metazoa" "Arthropoda" "Arachnida" "Sarcoptiformes" NA NA "Sarcoptiformes" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Sarcoptiformes, 93.088, Sarcoptiformes, 91.705" " 93.088" "1" "Sarcoptiformes" NA "seq14362"
"seq14367" "upper" "seq14367" "GU232669" " 104777" "100.000" "8.170610e+00" "100" "Metazoa" "Rotifera" "Eurotatoria" "Ploima" "Brachionidae" "Brachionus" "Brachionus calyciflorus" " 99.82389" "100.00000" "100" "100" "100" "100" "100" "Brachionus calyciflorus, 100.000, Brachionus calyciflorus,  99.545, Brachionus fernandoi,  99.545, Brachionus calyciflorus,  99.091, Brachionus calyciflorus,  98.636, Brachionus calyciflorus,  98.182" "100.000" "1" "Brachionus calyciflorus" "Brachionus" "seq14367"
"seq1440" "upper" "seq1440" "ACSD146N11" "  84316" " 99.539" "1.050948e+00" "100" "Metazoa" "Arthropoda" "Hexanauplia" "Cyclopoida" "Cyclopidae" "Eucyclops" "Eucyclops" " 98.94905" "100.00000" "100" "100" "100" "100" "100" "Eucyclops, 100.000, Eucyclops,  99.539, Eucyclops serrulatus,  99.539, Eucyclops,  99.078, Eucyclops,  98.618" "100.000" "0" "Eucyclops" "Eucyclops" "seq1440"
"seq14412" "upper" "seq14412" "GBMND44964N21" "  54125" " 93.458" "5.000000e+01" "100" "Metazoa" "Nematoda" "Chromadorea" "Rhabditida" "Neodiplogasteridae" "Pristionchus" "Pristionchus" " 50.00000" "100.00000" "100" "100" "100" "100" "100" "Pristionchus, 93.458, Pristionchus fukushimae, 93.458, Oscheius, 92.523, Panagrellus redivivus, 92.056, Strongylidae, 91.589, Oscheius, 91.589, Parapristionchus giblindavisi, 91.589" " 93.458" "0" "Pristionchus" "Pristionchus" "seq14412"
"seq144292" "upper" "seq144292" "GBSP10083N13" " 204738" " 98.643" "2.101236e+01" "100" "Metazoa" "Rotifera" "Eurotatoria" "Ploima" "Brachionidae" "Keratella" "Keratella cochlearis" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Keratella cochlearis, 98.643, Keratella cochlearis, 98.636, Keratella cochlearis, 98.190, Keratella cochlearis, 97.738, Keratella cochlearis, 96.833" " 98.643" "0" "Keratella cochlearis" "Keratella cochlearis" "seq144292"
"seq14434" "upper" "seq14434" "GBSP3269N11" " 231624" " 99.545" "8.332693e+00" "100" "Metazoa" "Rotifera" "Eurotatoria" NA NA "Rotaria" "Rotaria rotatoria" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Rotaria rotatoria, 99.545, Rotaria rotatoria, 98.636" " 99.545" "1" "Rotaria rotatoria" "Rotaria rotatoria" "seq14434"
"seq1444" "upper" "seq1444" "ZPII1540N11" " 362306" " 90.323" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Branchiopoda" "Diplostraca" "Macrotrichidae" "Macrothrix" "Macrothrix" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Macrothrix, 90.323" " 90.323" "1" "Macrothrix" "Macrothrix" "seq1444"
"seq14443" "upper" "seq14443" "GBNM1530N13" "   6324" " 92.991" "1.000000e+02" "100" "Metazoa" "Nematoda" "Chromadorea" "Rhabditida" "Aphelenchoididae" "Bursaphelenchus" "Bursaphelenchus" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Bursaphelenchus, 92.991, Panagrellus redivivus, 92.523, Koerneria, 92.523, Coleoptera, 91.121, Strongylidae, 91.121, Sheraphelenchus, 91.121" " 92.991" "1" "Bursaphelenchus" "Bursaphelenchus" "seq14443"
"seq1445" "upper" "seq1445" "KR593298" "1790224" " 90.783" "1.021070e+00" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" "Tokunagaia" "Tokunagaia rectangularis" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Tokunagaia rectangularis, 91.244, Tokunagaia rectangularis, 90.783, Tokunagaia rectangularis, 90.323, Tokunagaia rectangularis, 90.000" " 91.244" "0" "Tokunagaia rectangularis" "Tokunagaia" "seq1445"
"seq1447" "upper" "seq1447" "CHBAL151N20" "   7149" " 98.157" "3.333333e+01" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" NA "Chironomidae" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Chironomidae, 98.157" " 98.157" "0" "Chironomidae" "Chironomidae" "seq1447"
"seq14479" "upper" "seq14479" "INRMA3984N21" "  85663" " 90.783" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Insecta" "Hymenoptera" "Apidae" "Bombus" "Bombus jonellus" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Bombus jonellus, 90.783" " 90.783" "1" "Bombus jonellus" "Bombus" "seq14479"
"seq14494" "upper" "seq14494" "INRMA3984N21" "  85663" " 90.783" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Insecta" "Hymenoptera" "Apidae" "Bombus" "Bombus jonellus" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Bombus jonellus, 90.783" " 90.783" "1" "Bombus jonellus" "Bombus" "seq14494"
"seq14495" "upper" "seq14495" "MSSCA1982N16" "  83137" " 95.392" "9.790131e+01" "100" "Metazoa" "Arthropoda" "Arachnida" "Sarcoptiformes" NA NA "Sarcoptiformes" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Sarcoptiformes, 95.392, Sarcoptiformes, 94.931" " 95.392" "1" "Sarcoptiformes" NA "seq14495"
"seq14496" "upper" "seq14496" "GBMIN1788N12" "  74730" " 98.347" "9.028741e+01" "100" "Metazoa" "Annelida" "Clitellata" "Tubificida" "Naididae" "Nais" "Nais" " 96.11497" "100.00000" "100" "100" "100" "100" "100" "Nais, 98.347, Nais, 97.521, Nais communis, 97.521" " 98.347" "0" "Nais" "Nais" "seq14496"
"seq14498" "upper" "seq14498" "MSSCA1982N16" "  83137" " 93.088" "9.999901e+01" "100" "Metazoa" "Arthropoda" "Arachnida" "Sarcoptiformes" NA NA "Sarcoptiformes" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Sarcoptiformes, 93.088, Sarcoptiformes, 91.705" " 93.088" "1" "Sarcoptiformes" NA "seq14498"
"seq1451" "upper" "seq1451" "GBAN0144N06" " 212330" " 99.078" "2.310163e-02" "100" "Metazoa" "Annelida" "Clitellata" "Tubificida" "Naididae" "Nais" "Nais bretscheri" " 99.97690" " 99.97690" "100" "100" "100" "100" "100" "Nais bretscheri, 100.000, Nais bretscheri,  99.078, Naididae,  99.078" "100.000" "0" "Nais bretscheri" "Naididae" "seq1451"
"seq14529" "upper" "seq14529" "GASBB145N18" "  76587" " 98.618" "1.000000e+02" "100" "Metazoa" "Annelida" "Clitellata" "Tubificida" "Naididae" "Limnodrilus" "Limnodrilus hoffmeisteri" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Limnodrilus hoffmeisteri, 98.618" " 98.618" "1" "Limnodrilus hoffmeisteri" "Limnodrilus hoffmeisteri" "seq14529"
"seq1453" "upper" "seq1453" "BACZP292N15" "1112786" "100.000" "2.486651e+01" "100" "Metazoa" "Arthropoda" "Ostracoda" "Podocopida" "Candonidae" "Candona" "Candona candida" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Candona candida, 100.000, Candona candida,  99.174" "100.000" "0" "Candona candida" "Candona candida" "seq1453"
"seq1455" "upper" "seq1455" "GBSP10075N13" " 204738" " 97.727" "3.561119e-03" "100" "Metazoa" "Rotifera" "Eurotatoria" "Ploima" "Brachionidae" "Keratella" "Keratella cochlearis" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Keratella cochlearis, 99.091, Keratella cochlearis, 98.182, Keratella cochlearis, 97.727, Keratella cochlearis, 97.273" " 99.091" "0" "Keratella cochlearis" "Keratella cochlearis" "seq1455"
"seq145592" "upper" "seq145592" "CULCB024N20" "1168197" "100.000" "1.424202e+01" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Ceratopogonidae" "Culicoides" "Culicoides poperinghensis" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Culicoides poperinghensis, 100.000, Culicoides poperinghensis,  99.539" "100.000" "0" "Culicoides poperinghensis" "Culicoides poperinghensis" "seq145592"
"seq14562" "upper" "seq14562" "BSCHI329N17" "2872843" "100.000" "9.999899e+01" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" "Paratanytarsus" "Paratanytarsus tenellulus" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Paratanytarsus tenellulus, 100.000, Paratanytarsus tenellulus,  98.611, Paratanytarsus tenellulus,  98.148" "100.000" "1" "Paratanytarsus tenellulus" "Paratanytarsus tenellulus" "seq14562"
"seq14565" "upper" "seq14565" "GBMND100623N21" " 525906" " 98.182" "2.674128e-06" "100" "Metazoa" "Rotifera" "Eurotatoria" "Ploima" "Synchaetidae" "Synchaeta" "Synchaeta pectinata" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Synchaeta pectinata, 100.000, Synchaeta pectinata,  98.182" "100.000" "0" "Synchaeta pectinata" "Synchaeta pectinata" "seq14565"
"seq14568" "upper" "seq14568" "GMOAP218N13" "2109251" " 98.618" "1.051980e+00" "100" "Metazoa" "Annelida" "Clitellata" "Tubificida" "Naididae" NA "Naididae" " 51.05198" " 51.05198" "100" "100" "100" "100" "100" "Tasserkidrilus kessleri, 99.078, Naididae, 99.078, Naididae, 98.618" " 99.078" "0" "Naididae" "Naididae" "seq14568"
